origin,retard_mig,vols
ABE,3.2024958794443137,4337
ABI,4.409534750143596,1757
ABQ,4.291413230420739,24092
ABR,10.718836565096954,728
ABY,15.914134742404228,765
ACK,11.23023402909551,1675
ACT,15.302830188679245,1087
ACV,17.972957084068195,1737
ACY,1.755950385517935,3052
ADK,-6.833333333333333,104
ADQ,1.3479349186483105,816
AEX,12.220093215950286,1966
AGS,13.461440570119624,4022
AKN,-3.2655367231638417,178
ALB,6.072989621129019,12042
ALW,2.8155893536121672,544
AMA,5.493410543130991,5086
ANC,1.6699247707429576,18543
APN,9.789819376026273,629
ASE,20.62104830983988,7888
ATL,6.82433913203144,341910
ATW,10.712748614281056,6259
AUS,9.236286419284426,85344
AVL,11.659344431096619,12082
AVP,13.363520408163266,1592
AZA,-0.957611120645272,5884
AZO,5.521739130434782,1005
BDL,5.913514991342386,22302
BET,12.032033426183844,726
BFF,9.162295081967214,627
BFL,1.2623445156426687,2681
BGM,7.265536723163842,367
BGR,3.998432601880878,4636
BHM,7.251707891637221,17233
BIH,9.047619047619047,274
BIL,3.3932310689067444,4149
BIS,5.029546612328069,3974
BJI,9.915629322268327,730
BLI,3.810071371927042,2544
BLV,15.130393996247655,1098
BMI,4.794991263832266,1750
BNA,5.92740791766279,100220
BOI,2.9826324605483556,22859
BOS,4.108080707824065,143490
BPT,4.1678321678321675,730
BQK,17.442622950819672,795
BQN,10.617402164862614,2446
BRD,2.337984496124031,649
BRO,6.3269130661114,1962
BRW,11.359420289855073,364
BTM,-14.178260869565218,690
BTR,8.680515164104694,4918
BTV,4.508058423570889,8122
BUF,5.508783284023669,22166
BUR,4.130450617488329,30636
BWI,8.155402001007701,98572
BZN,6.694885011895321,10203
CAE,5.625186734389005,6817
CAK,11.216121495327103,3476
CDC,-1.8044871794871795,629
CDV,-0.671875,726
CHA,7.660059171597633,6853
CHO,5.713235294117647,3203
CHS,6.810417327832434,25694
CID,11.572618296529969,8135
CIU,18.404463040446306,728
CKB,35.42574257425743,207
CLE,3.9670972700900053,41106
CLL,9.781135531135531,1122
CLT,13.904229878185486,217574
CMH,2.7353138637126553,42272
CMI,8.097794117647059,1385
CMX,17.759656652360515,730
CNY,-1.8620689655172413,31
COD,9.540064102564102,631
COS,4.810282694001762,12654
COU,12.357471264367817,1779
CPR,-2.2403189066059226,1771
CRP,6.334122599315969,3871
CRW,14.088626292466765,3433
CSG,7.6108273748723185,1001
CVG,5.2336987313708585,41270
CWA,-2.9034482758620688,731
CYS,-1.455639097744361,679
DAB,2.918650088809947,2874
DAL,8.142904934485642,72674
DAY,2.7542834373754816,7640
DCA,5.559043261291801,140016
DDC,20.635761589403973,627
DEC,21.99078947368421,780
DEN,7.77080930458756,308645
DFW,13.90851234390886,313582
DHN,5.944591029023747,766
DIK,3.235474006116208,671
DLG,3.5233644859813085,110
DLH,5.126301493888637,2232
DRO,6.662083553675304,3826
DSM,8.258279026466285,15303
DTW,5.584098425105802,131367
DVL,15.217391304347826,678
EAR,17.50980392156863,105
EAU,20.17241379310345,31
ECP,8.3742294210081,8380
EGE,16.844260101685844,3802
EKO,-7.041208791208791,366
ELM,14.8988988988989,1007
ELP,5.464620187304891,17494
ESC,4.996899224806201,650
EUG,6.349511815480402,7211
EVV,6.240115718418515,2106
EWN,58.48936170212766,51
EWR,6.432885799024142,128979
EYW,18.202637420028726,7947
FAI,1.553534760926958,3452
FAR,7.363471971066907,6715
FAT,7.355203426124197,11795
FAY,7.491310160427807,1512
FCA,7.260515247108307,3840
FLG,9.142546245919478,1850
FLL,12.335027352115489,91890
FNT,9.168962350780532,2212
FOD,17.439344262295084,627
FSD,6.362456747404845,7033
FSM,7.056228373702422,1184
FWA,11.723500322511288,4722
GCC,4.476987447698745,732
GCK,13.326760563380281,730
GEG,2.0360863309352517,17527
GFK,2.579153605015674,1283
GGG,10.743697478991596,729
GJT,6.137429882712902,3966
GNV,2.5172764227642275,3025
GPT,6.701807228915663,3371
GRB,7.9601352983812514,4203
GRI,17.464094319399784,954
GRK,10.17292377701934,1796
GRR,5.561234168386989,18237
GSO,4.4139340771654885,11951
GSP,4.096792276549362,16322
GST,-0.35714285714285715,90
GTF,1.2838229209764171,2436
GTR,-3.89875173370319,732
GUC,3.8462455303933254,849
GUM,-9.863636363636363,732
HDN,9.840579710144928,2516
HGR,32.57342657342657,296
HHH,9.68609125893348,1874
HIB,2.1913183279742765,629
HLN,7.358160621761658,1557
HNL,1.1554898579288824,61548
HOB,16.897025171624716,444
HOU,5.4228103227641125,57058
HPN,7.186826843413422,12332
HRL,4.558871915393654,4305
HSV,8.540574567929495,8896
HTS,41.86407766990291,426
HYA,32.22093023255814,269
HYS,4.126331811263318,670
IAD,3.4140500470511417,52891
IAG,18.18716577540107,383
IAH,12.413005086182537,115940
ICT,6.229312555478844,10276
IDA,5.647800586510264,3430
ILM,6.446171341925702,8069
IMT,9.367176634214186,729
IND,3.7256832925662025,47758
INL,7.1612403100775195,653
ISP,5.182634730538922,4777
ITH,-4.136132315521628,810
ITO,1.4657309242944603,6757
JAC,15.864545454545455,5625
JAN,6.929658637505542,6867
JAX,8.350697486353528,30218
JFK,3.945234743727747,123348
JLN,11.068965517241379,627
JMS,12.318260869565217,615
JNU,0.6765847347994826,4738
JST,12.376750700280112,731
KOA,0.21022269090006823,16327
KTN,-1.2695121951219512,2515
LAN,13.29765625,1298
LAR,8.041390728476822,627
LAS,6.141726383841844,189252
LAW,10.59580552907531,1086
LAX,4.359124140841988,194053
LBB,6.160749506903353,6190
LBE,-4.206773618538325,576
LBF,7.150974025974026,628
LBL,6.776146788990825,566
LCH,18.004721435316338,1086
LCK,13.562231759656653,958
LEX,6.055487601467808,9138
LFT,11.645465994962217,3255
LGA,1.555301229197228,162432
LGB,0.4995436394751854,17650
LIH,-0.9381332320162108,15957
LIT,8.28501719862411,12657
LNK,7.411285946825828,1863
LRD,12.064204545454546,1795
LSE,7.28923076923077,332
LWS,7.253895508707608,1097
MAF,5.901790500696902,9481
MBS,10.093793103448276,2210
MCI,4.430146236296703,49869
MCO,10.650136313020774,159553
MCW,21.33222591362126,627
MDT,6.986021911598035,5367
MDW,6.238455657492355,79633
MEI,10.790774299835256,627
MEM,5.147887007679525,22624
MFE,12.709712543554007,4684
MFR,5.661574074074074,4369
MGM,9.62093023255814,2627
MGW,69.05405405405405,37
MHK,-3.4365904365904365,981
MHT,3.224555735056543,5650
MIA,14.296392566049647,109944
MKE,5.004497007896321,28694
MLB,1.7325370973579444,2813
MLI,8.902963671128107,4282
MLU,8.404606910365548,2024
MOB,4.964453125,2604
MOT,9.6340206185567,2376
MQT,5.552757793764988,847
MRY,9.076591154261058,4688
MSN,8.269538991813873,11789
MSO,7.600437743190661,4170
MSP,4.043018386311969,126779
MSY,9.020063636179398,50173
MTJ,6.243971631205674,2856
MVY,19.74142997061704,1075
MYR,4.82871198568873,16010
OAJ,5.948169014084507,1797
OAK,1.9123568120887156,41369
OGG,-0.809966828077935,26543
OKC,4.764311409157526,22794
OMA,6.1886124034316445,23766
OME,3.3675213675213675,365
ONT,2.8362421808633873,26175
ORD,9.87565016968839,280052
ORF,7.34375,21120
ORH,8.056254626202813,1404
OTH,29.793510324483776,345
OTZ,-1.2215743440233235,366
PAE,-1.2422178988326849,1071
PBG,21.908141962421713,501
PBI,11.813922077922077,29476
PDX,4.022960313404871,59584
PGD,8.266043211867139,6337
PHL,8.535497923209402,100635
PHX,5.393275585298226,193551
PIA,10.355374149659864,3744
PIB,8.176567656765677,627
PIE,7.357727611014637,8303
PIH,-9.145714285714286,700
PIT,3.671434201070957,43831
PLN,5.672289156626506,846
PNS,9.879255319148935,13364
PPG,15.552,125
PQI,1.5775862068965518,117
PRC,20.566896551724138,731
PSC,1.2735667564447866,5233
PSE,2.965330444203684,945
PSG,-2.246826516220028,726
PSM,8.51923076923077,373
PSP,5.028609154929577,13807
PVD,4.876391449839514,14850
PVU,9.04983848638671,2187
PWM,6.810568820224719,11674
RAP,7.06150562669771,5233
RDD,4.563981042654029,1487
RDM,12.868852459016393,5916
RDU,7.564355285645544,61316
RFD,14.426666666666666,841
RHI,-2.1646341463414633,827
RIC,6.749805447470817,18279
RIW,8.752052545155994,622
RKS,10.954471544715448,623
RNO,5.968647342995169,20913
ROA,11.004524886877828,2944
ROC,5.130765288691493,11936
ROW,19.097326203208556,963
RST,6.35021398002853,1416
RSW,9.255327917108207,34871
SAF,8.879636109167249,2908
SAN,9.262173329755836,94645
SAT,6.345400506723836,41613
SAV,6.654222505849819,19120
SBA,6.946661237785016,7493
SBN,8.9695400548279,6685
SBP,8.363127413127414,5244
SCC,-8.257246376811594,570
SCE,7.2032085561497325,575
SCK,24.65497076023392,515
SDF,5.056365240035281,24122
SEA,5.05320084200099,163725
SFB,9.568501233773201,9499
SFO,7.256838745615224,134978
SGF,12.45695870657636,9280
SGU,0.036889332003988036,3023
SHR,1.8125874125874126,730
SHV,8.738230611780759,4491
SIT,1.338139870223504,1421
SJC,1.0895393973348273,50392
SJT,10.07029053420806,1089
SJU,13.828611653832892,35431
SLC,3.7770066815144765,113247
SLN,10.487734487734487,712
SMF,3.5389410384276916,55052
SMX,39.301886792452834,106
SNA,4.394184017680586,43519
SPI,20.98095238095238,107
SPN,-4.497252747252747,366
SPS,6.853932584269663,725
SRQ,8.933465930963685,16201
STC,-0.6870748299319728,149
STL,6.028903608319052,65597
STS,11.393558951965066,3688
STT,14.868621265540916,5538
STX,25.457167090754876,1196
SUN,6.023773394031361,2005
SUX,15.535664335664336,730
SWF,12.84652278177458,425
SWO,5.858345021037868,730
SYR,3.1162330746995286,13376
TLH,6.2439024390243905,6097
TOL,11.364864864864865,375
TPA,9.82962836819974,78517
TRI,0.9208277103013945,2248
TTN,7.084246970571264,1798
TUL,4.050784475639967,17155
TUS,4.974957823703079,19128
TVC,11.834944237918215,4090
TWF,-6.336676217765043,700
TXK,15.436974789915967,737
TYR,11.697542533081286,1090
TYS,4.627268176698786,16281
USA,22.192700729927008,703
VCT,11.147249190938512,635
VEL,16.76923076923077,52
VLD,3.9724770642201834,781
VPS,9.20266393442623,9897
WRG,-3.5901408450704224,726
WYS,8.197411003236246,313
XNA,7.278968080454744,13874
XWA,12.400619514713474,1972
YAK,-4.5522174535050075,726
YUM,6.002922267679719,1722
